track name= "chr16 t1519" description= "test"  visibility= 2
chr16		75303709		75305203
chr16		69632641		69634132
chr16		57798084		57799553
chr16		76145542		76147003
chr16		75246582		75248080
chr16		64920457		64921946
chr16		63952734		63954227
chr16		66312450		66313928
chr16		78369335		78370829
chr16		69758699		69760172
chr16		66198680		66200179
chr16		80349279		80350774
chr16		7802257			7803721
chr16		74069049		74070523
chr16		76888200		76889676
chr16		85213795		85215294
chr16		58443284		58444791
chr16		9662715			9664212
chr16		64588527		64590018
chr16		67785364		67786828
chr16		75457120		75458617
chr16		60000025		60001491
chr16		72981104		72982600
chr16		80402130		80403602
chr16		8133483			8134984
chr16		67517003		67518492
chr16		90773437		90774925
chr16		66179301		66180762
chr16		15949539		15951034
chr16		53164899		53166393
chr16		17686303		17687802
chr16		88993431		88994922
chr16		65854335		65855824
chr16		64374371		64375866
chr16		75406433		75407930
chr16		88176654		88178118
chr16		50848148		50849612
chr16		81143181		81144683
chr16		86516905		86518374
chr16		51585347		51586843
chr16		52413487		52414960
chr16		77175412		77176897
chr16		69953217		69954713
chr16		63370945		63372418
chr16		50938753		50940248
chr16		70091964		70093427
chr16		19907179		19908649
chr16		86679754		86681249
chr16		19620446		19621928
chr16		52026731		52028195
chr16		10557836		10559304
chr16		29982829		29984322
chr16		68787564		68789055
chr16		9369994			9371493
chr16		55769617		55771134
chr16		84621417		84622877
chr16		90802004		90803467
chr16		60555971		60557450
chr16		9807032			9808499
chr16		88031107		88032564
chr16		66880856		66882299
chr16		67544362		67545828
chr16		65271593		65273081
chr16		29869684		29871172
chr16		6295044			6296542
chr16		12150170		12151622
chr16		67384779		67386263
chr16		29670514		29672011
chr16		64116844		64118339
chr16		82057607		82059058
chr16		52205998		52207466
chr16		9762592			9764088
chr16		52075804		52077264
chr16		12571900		12573399
chr16		53530552		53532024
chr16		63470318		63471786
chr16		11499675		11501067
chr16		67835854		67837320
chr16		77128991		77130471
chr16		16246945		16248427
chr16		51725044		51726511
chr16		64977962		64979452
chr16		3424877			3426337
chr16		29787603		29789057
chr16		70898186		70899651
chr16		29383243		29384715
chr16		29732468		29733933
chr16		50893247		50894736
chr16		77235640		77237103
chr16		22649672		22651137
chr16		56591542		56593043
chr16		65098500		65099975
chr16		10365816		10367283
chr16		67874618		67876079
chr16		84759554		84761018
chr16		80262129		80263607
chr16		29941406		29942884
chr16		56403977		56405452
chr16		51955058		51956440
chr16		69167814		69169305
chr16		83911736		83913226
chr16		51840474		51841959
chr16		55645616		55647093
chr16		56415592		56417073
chr16		63494464		63495926
chr16		86739725		86741189
chr16		74451320		74452775
chr16		17110304		17111805
chr16		63176260		63177752
chr16		57395184		57396684
chr16		80784362		80785821
chr16		53429816		53431315
chr16		69431879		69433328
chr16		55731161		55732624
chr16		65547027		65548501
chr16		16937016		16938480
chr16		10040178		10041643
chr16		64223962		64225420
chr16		80251089		80252587
chr16		75764659		75766113
chr16		64074008		64075325
chr16		27365967		27367445
chr16		51749780		51751253
chr16		62485660		62487149
chr16		52312554		52314014
chr16		90410760		90412214
chr16		68506756		68508226
chr16		77068854		77070307
