track name= "chr17 t1519"  description= "test"  visibility= 2

chr17		69531775		69533276
chr17		12357418		12358916
chr17		33837768		33839228
chr17		11385637		11387110
chr17		56382360		56383824
chr17		69876023		69877511
chr17		52349700		52351187
chr17		3035607			3037101
chr17		61846265		61847754
chr17		69284651		69286120
chr17		9528247			9529735
chr17		56666969		56668462
chr17		71417403		71418898
chr17		3162861			3164325
chr17		31384020		31385512
chr17		70617779		70619247
chr17		11752933		11754398
chr17		67466113		67467586
chr17		61983554		61985048
chr17		11768976		11770431
chr17		27953428		27954918
chr17		42066703		42068169
chr17		36346444		36347907
chr17		67515257		67516756
chr17		3069346			3070810
chr17		61750214		61751690
chr17		33624333		33625798
chr17		35238729		35240215
chr17		72224506		72225985
chr17		65235265		65236741
chr17		56883274		56884769
chr17		23242616		23244117
chr17		70156188		70157686
chr17		23334617		23336109
chr17		27415652		27417147
chr17		53491178		53492676
chr17		70489245		70490726
chr17		3343186			3344675
chr17		57261199		57262699
chr17		55571434		55572906
chr17		53271540		53273032
chr17		54231122		54232616
chr17		21537961		21539450
chr17		27980286		27981746
chr17		70015222		70016726
chr17		23337792		23339237
chr17		22420247		22421745
chr17		27617760		27619231
chr17		52493193		52494657
chr17		54116972		54118417
chr17		54684455		54685924
chr17		27998886		28000376
chr17		28039811		28041269
chr17		70800871		70802363
chr17		30968088		30969571
chr17		35029515		35031005
chr17		3214982			3216385
chr17		54406261		54407652
chr17		54636055		54637541
chr17		6844528			6845926
chr17		27638978		27640438
chr17		63195872		63197370
chr17		27632613		27634101
chr17		74700676		74702152
chr17		56925516		56926895
chr17		54221400		54222888
chr17		28087818		28089284
chr17		56435442		56436932
chr17		28123653		28125147
chr17		3207777			3209270
chr17		57068207		57069549
chr17		30843142		30844613
chr17		475958			477330
chr17		52161430		52162902
chr17		57182920		57184392
chr17		36145669		36147129
chr17		54793012		54794487
chr17		16539636		16541088
chr17		55040192		55041640
chr17		52435516		52436969
chr17		32730897		32732354
chr17		33587007		33588499
chr17		15265368		15266838
chr17		6784055			6785544
chr17		517907			519384
chr17		29678565		29680014
chr17		47814452		47815925
chr17		28069137		28070595
chr17		34828062		34829517
chr17		27680059		27681552
chr17		5471560			5473023
chr17		23415389		23416851
chr17		28368511		28369971
chr17		53416709		53418126
chr17		34981553		34983062
chr17		36228110		36229577
chr17		6703164			6704626
chr17		34005251		34006718
chr17		20866265		20867733
chr17		28101364		28102577
chr17		69856375		69857825
chr17		42110291		42111753
chr17		20546606		20548102
chr17		63960489		63961942
chr17		33914348		33915825
chr17		38666504		38667919
chr17		23185175		23186641
chr17		20830523		20831993
chr17		54657625		54659093
chr17		13767682		13769148
chr17		31505837		31507302
chr17		23324328		23325815
chr17		73990318		73991756
chr17		20243682		20245164
chr17		59714337		59715812
chr17		5743922			5745160
chr17		15701722		15703211
chr17		71698899		71700232
chr17		61804643		61805964
chr17		48222283		48223518
chr17		53200365		53201816
chr17		32610681		32612148
chr17		63231630		63233102
chr17		63655120		63656601
chr17		3226289			3227755
chr17		31014625		31015827
chr17		28194986		28196464
chr17		44645057		44646515
chr17		53326998		53328448
chr17		14436114		14437606
chr17		35156051		35157542
chr17		53053238		53054396
chr17		53218996		53220456
chr17		55566852		55568200
chr17		61629992		61631452
chr17		30953177		30954629
chr17		28842073		28843206
chr17		47782696		47783958
chr17		55519476		55520931
chr17		3236262			3237403
chr17		3248702			3249907
chr17		31351452		31352906
chr17		36476337		36477798
chr17		43120687		43121780
chr17		54649841		54651146
chr17		54943078		54944562
chr17		55700245		55701696
chr17		55463620		55465082
chr17		31390807		31391996
chr17		57062960		57064255
chr17		52176846		52178298
chr17		40210606		40211895
chr17		65479068		65480514
chr17		69741444		69742524
chr17		55196848		55198296
chr17		66950514		66952013
chr17		20808834		20809915
chr17		73417804		73418841
chr17		3105729			3107196
chr17		3189199			3190381
chr17		36256810		36258297
chr17		54965912		54967380
chr17		53530400		53531474
chr17		10811448		10812527
chr17		55977093		55978536
chr17		36275847		36277321
chr17		62642209		62643522
chr17		32121247		32122688
chr17		67031152		67032603
chr17		55585367		55586833
chr17		43994931		43996193
chr17		13596559		13597969
chr17		52318885		52320350
chr17		52446551		52448040
chr17		31541425		31542452
chr17		55674652		55676082
chr17		3025601			3027034
chr17		15127750		15129211
chr17		56642380		56643384
chr17		56679520		56680982
chr17		62545531		62546795
chr17		54779528		54780974
chr17		54375318		54376338
chr17		78806049		78807204
chr17		23320224		23321246
chr17		35227989		35229457
chr17		53292459		53293871
chr17		27580294		27581265
chr17		6625307			6626496
chr17		53281757		53282747
chr17		56819769		56821119
chr17		11075362		11076858
chr17		28976700		28977771
chr17		6746350			6747654
chr17		69916156		69917626
chr17		70558986		70559935
chr17		56750467		56751659
chr17		71966781		71968249
chr17		57221069		57222544
chr17		69722485		69723843
chr17		42126621		42128101
chr17		10976131		10977073
chr17		14508397		14509695
chr17		35281148		35282509
chr17		64169101		64170479
chr17		56101482		56102397
chr17		54084036		54085308
chr17		69824631		69826082
chr17		55958960		55959812
chr17		9900329			9901197
chr17		16848194		16849390
chr17		6860884			6861729
chr17		54625630		54627016
chr17		12212894		12213804
chr17		38366599		38367435
chr17		28148677		28149850
chr17		56934714		56936043
chr17		41678414		41679508
chr17		67742425		67743731
chr17		3174429			3175574
chr17		72520305		72521606
chr17		41908957		41909883
chr17		54287332		54288389
chr17		61640330		61641321
chr17		70510365		70511273
chr17		69647198		69648174
chr17		55641572		55642857
chr17		57213580		57214623
chr17		71314571		71315665
chr17		178028			178913
chr17		54184221		54185352
chr17		55388909		55390183
chr17		55533279		55534603
chr17		34488182		34488958
chr17		73424762		73425668
chr17		33923089		33923893
chr17		21518846		21520161
chr17		41950998		41951866
chr17		66775187		66776198
chr17		14582958		14584448
chr17		14763209		14764333
chr17		55323439		55324651
chr17		33795150		33795905
chr17		10461037		10461839
chr17		14377743		14378782
chr17		35977600		35978389
chr17		52234926		52235935
chr17		55594514		55595861
chr17		42031693		42032449
chr17		62434917		62435720
chr17		3397075			3397806
chr17		13081975		13082718
chr17		15111614		15112859
chr17		67701409		67702124
chr17		63270898		63271707
chr17		20352094		20353390
chr17		55316291		55317377
chr17		16677606		16678901
chr17		42324756		42325761
chr17		69990356		69991158
chr17		81669661		81670411
chr17		36182140		36183101
chr17		59766348		59767235
chr17		8486330			8487630
chr17		46818234		46819015
chr17		71115359		71116501
chr17		55003162		55003995
chr17		72078404		72079102
chr17		23002121		23002802
chr17		84008005		84009143
chr17		61351346		61352340
chr17		73075096		73075900
chr17		83864720		83865855
chr17		36126157		36126916
chr17		32064968		32065810
chr17		9901965			9902614
chr17		71583597		71584336
chr17		12552458		12553182
chr17		14382375		14383402
chr17		37068461		37069534
chr17		65089945		65091016
chr17		65965685		65966725
chr17		11834234		11835540
chr17		64096986		64098069
chr17		35163163		35164116
chr17		67798841		67799787
chr17		41832407		41833334
chr17		53649384		53650192
chr17		57215668		57216950
chr17		17375827		17376539
chr17		57152030		57152913
chr17		34733980		34734941
chr17		3293503			3294782
chr17		69797616		69798266
chr17		54716923		54717532
chr17		11662067		11663216
chr17		12525048		12526081
chr17		53285226		53285841
chr17		41437649		41438827
chr17		7028362			7028977
chr17		12180181		12181154
chr17		28670336		28671211
chr17		54659108		54660139
chr17		73730483		73731816
chr17		54752420		54753042
chr17		10942852		10943483
chr17		15108954		15109759
chr17		3398216			3399065
chr17		6047934			6048842
chr17		3320700			3321295
chr17		16054447		16055185
chr17		53837922		53838732
chr17		53289747		53290412
chr17		5110803			5111425
chr17		62694867		62696190
chr17		34244018		34244726
chr17		42088346		42089172
chr17		27975634		27976252
chr17		28853549		28854105
chr17		72951565		72952249
chr17		57110682		57111980
chr17		69280236		69280875
chr17		23001567		23002122
chr17		71566022		71567262
chr17		56313182		56313920
chr17		69748935		69749521
chr17		41442825		41443461
chr17		12803015		12803731
chr17		56823873		56824584
chr17		69158448		69159066
chr17		2541946			2542608
chr17		48242743		48243533
chr17		36465532		36466220
chr17		11639352		11639948
chr17		83974312		83975054
chr17		6716935			6717656
chr17		83829884		83830626
chr17		12562246		12562760
chr17		55932616		55933344
chr17		72573924		72574449
chr17		9509882			9510654
chr17		10877002		10878276
chr17		20049454		20050151
chr17		73852475		73853064
chr17		73849016		73849702
chr17		48243796		48244487
chr17		63927854		63929166
chr17		35691897		35692454
chr17		65315074		65315736
chr17		176858			177411
chr17		55959810		55960306
chr17		73416925		73417408
chr17		52763943		52765246
chr17		70627531		70628181
chr17		70509362		70509939
chr17		12216772		12217984
chr17		55937047		55937808
chr17		54732702		54733427
chr17		33767969		33768499
chr17		2933857			2934588
chr17		34412558		34413132
chr17		47865169		47865770
chr17		33660611		33661394
chr17		37381386		37382658
chr17		29096671		29097336
chr17		63270174		63270797
chr17		57266205		57267037
chr17		66929712		66930834
chr17		9910158			9910735
chr17		37839163		37839922
chr17		62535116		62535823
chr17		37048955		37050028
chr17		53157910		53158634
chr17		74901093		74901734
chr17		61352627		61353140
chr17		59792764		59793525
chr17		63430806		63431383
chr17		10975457		10975976
chr17		61722687		61723268
chr17		66652112		66653268
chr17		37156104		37157177
chr17		55029775		55030490
chr17		38771274		38772134
chr17		32739523		32739991
chr17		44045287		44045947
chr17		54753043		54753626
chr17		12562759		12563216
chr17		14724197		14725340
chr17		6272414			6272855
chr17		67348648		67349573
chr17		71228254		71229457
chr17		6851511			6852180
chr17		52847616		52848629
chr17		2549546			2550275
chr17		61798312		61798818
chr17		33896445		33897011
chr17		42059583		42060312
chr17		53676446		53677769
chr17		55052312		55052825
chr17		72578925		72579514
chr17		5638261			5638950
chr17		72151096		72151794
chr17		33586422		33586845
chr17		59546108		59546702
chr17		27603510		27604035
chr17		44046962		44047510
chr17		53533370		53533794
chr17		30680786		30681371
chr17		9640417			9640906
chr17		10767816		10768342
chr17		3143130			3143786
chr17		36466512		36467301
chr17		10211128		10211786
chr17		49312576		49313321
chr17		8588566			8589195
chr17		61683664		61684223
chr17		53211034		53211730
chr17		65446796		65447341
chr17		35356747		35357654
chr17		46535300		46535837
chr17		36127286		36127840
chr17		72686271		72687527
chr17		55001407		55002060
chr17		12543557		12544381
chr17		9473346			9474203
chr17		28978188		28978614
chr17		42175247		42176211
chr17		52380523		52381193
chr17		10812954		10813364
chr17		78478454		78479728
chr17		5568728			5569206
chr17		20881722		20882189
chr17		6295146			6295638
chr17		38772532		38772994
chr17		47701846		47702370
chr17		3047195			3047779
chr17		12238638		12239897
chr17		13037226		13038173
chr17		42136701		42137249
chr17		41950549		41950995
chr17		59089329		59089950
chr17		70694988		70695402
chr17		52918946		52919904
chr17		72160957		72161386
chr17		44314811		44315264
chr17		55408663		55409333
chr17		22637687		22638689
chr17		48277630		48278038
chr17		71672279		71672792
chr17		70436233		70436688
chr17		9508690			9509140
chr17		9903838			9904310
chr17		41553995		41554468
chr17		1530984			1531401
chr17		34488953		34489363
chr17		70139064		70140287
chr17		12087686		12088136
chr17		57276096		57277195
chr17		35300572		35301126
chr17		66981508		66982375
chr17		36333586		36334339
chr17		2550279			2550822
chr17		36419684		36420223
chr17		71190197		71190743
chr17		715847			716361
chr17		3222702			3223236
chr17		15345705		15346166
chr17		72527983		72528390
chr17		63250947		63251365
chr17		61874574		61874939
chr17		21914722		21915110
chr17		14705615		14705990
chr17		54285856		54286272
chr17		69634458		69635108
chr17		16893267		16894086
chr17		34364402		34364796
chr17		41410851		41411371
chr17		72729978		72730455
chr17		53646225		53647087
chr17		71334257		71334911
chr17		20895366		20896067
chr17		5053930			5054286
chr17		28843351		28843674
chr17		71041432		71041812
chr17		5863941			5864449
chr17		71978343		71979392
chr17		72887543		72888009
chr17		62532982		62533390
chr17		13017731		13018174
chr17		6691752			6692110
chr17		130719			131150
chr17		56872230		56872661
chr17		57526085		57526613
chr17		13735239		13735765
chr17		71291359		71291900
chr17		5828674			5829274
chr17		36326500		36327583
chr17		42057340		42057999
chr17		53209760		53210146
chr17		33355682		33356077
chr17		55201359		55201747
chr17		3240738			3241060
chr17		61662557		61663655
chr17		73757509		73757915
chr17		52679047		52679533
chr17		57210983		57211373
chr17		11268064		11268504
chr17		72000662		72001030
chr17		15181470		15181900
chr17		5465546			5466177
chr17		28164665		28165024

